Sign in
Gemini
संयुक्त प्रवेश परीक्षा - उन्नत (JEE Advanced) का ऐतिहासिक और संरचनात्मक विश्लेषण (2005–2026): परीक्षा पैटर्न, अंकन योजना और अनुभाग-वार विस्तृत डेटा
उच्च-स्तरीय मूल्यांकन प्रतिमान का परिचय

भारतीय प्रौद्योगिकी संस्थान (IITs) और अन्य प्रमुख इंजीनियरिंग संस्थानों में प्रवेश के लिए आयोजित होने वाली संयुक्त प्रवेश परीक्षा - उन्नत (JEE Advanced), जिसे पूर्व में IIT-JEE के नाम से जाना जाता था, वैश्विक स्तर पर सबसे कठोर और चुनौतीपूर्ण अकादमिक आकलनों में से एक है । इस परीक्षा की सबसे बड़ी विशेषता इसका अप्रत्याशित (unpredictable) स्वरूप है। मानकीकृत परीक्षाओं के विपरीत, जिनका एक निश्चित ब्लूप्रिंट होता है, JEE Advanced का संचालन करने वाले संस्थान (विभिन्न IITs) जानबूझकर हर साल प्रश्नों की कुल संख्या, अधिकतम अंक, अनुभाग-वार (section-wise) वितरण और अंकन योजना (marking scheme) में बदलाव करते हैं ।   

यह गतिशील संरचना कोई संयोग नहीं है, बल्कि यह एक रणनीतिक साइकोमेट्रिक उपकरण (psychometric tool) है जिसे रटने की प्रवृत्ति (rote memorization) और कोचिंग संस्थानों द्वारा सिखाए जाने वाले पैटर्न-हैकिंग को बेअसर करने के लिए डिज़ाइन किया गया है । यह उम्मीदवारों को वास्तविक समय में अपनी संज्ञानात्मक रणनीतियों (cognitive strategies) को अनुकूलित करने के लिए मजबूर करता है। वर्ष 2005 से 2026 तक के दो दशकों के दौरान, इस परीक्षा ने वर्णनात्मक (subjective) प्रारूप से लेकर कंप्यूटर-आधारित परीक्षण (CBT) तक का सफर तय किया है । इस रिपोर्ट में वर्ष 2005 से 2026 तक के पेपर 1 और पेपर 2 के पैटर्न, पूछे गए प्रश्नों की संख्या, नकारात्मक अंकन (negative marking), और आंशिक अंकन (partial marking) का संपूर्ण डेटा और मनोवैज्ञानिक विश्लेषण प्रस्तुत किया गया है।   

अंकन पद्धतियां: नकारात्मक अंकन (Negative Marking) और आंशिक अंकन (Partial Marking)

JEE Advanced के परीक्षा पैटर्न को समझने के लिए, मूल्यांकन में उपयोग किए जाने वाले दो सबसे महत्वपूर्ण दंड और पुरस्कार तंत्रों को समझना आवश्यक है:

नकारात्मक अंकन (Negative Marking) क्या है?

नकारात्मक अंकन का मुख्य उद्देश्य अंधाधुंध तुक्केबाजी (blind guessing) को रोकना है। जब कोई उम्मीदवार किसी बहुविकल्पीय प्रश्न (MCQ) का गलत उत्तर चुनता है, तो उसके कुल प्राप्त अंकों में से एक निश्चित अंक (जैसे -1 या -2) घटा दिया जाता है ।   

रणनीतिक प्रभाव: यह तंत्र परीक्षा को केवल ज्ञान का परीक्षण नहीं रहने देता, बल्कि इसे जोखिम-मूल्यांकन (risk-assessment) का परीक्षण बना देता है। यदि किसी प्रश्न में +3/-1 की अंकन योजना है, तो उम्मीदवार को उत्तर देने से पहले अपनी सटीकता के प्रति आश्वस्त होना पड़ता है। संख्यात्मक मान प्रकार (Numerical Value Type - NVT) के प्रश्नों में अक्सर कोई नकारात्मक अंकन नहीं होता (0 अंक), क्योंकि वहां बिना विकल्पों के सटीक उत्तर का अनुमान लगाना सांख्यिकीय रूप से असंभव होता है ।   

आंशिक अंकन (Partial Marking / Parcel Marking) क्या है?

आंशिक अंकन (जिसे अक्सर छात्रों द्वारा 'पार्सल मार्किंग' भी कहा जाता है) विशेष रूप से "एक या एक से अधिक सही विकल्प" (Multiple Correct MCQs) वाले प्रश्नों में लागू होता है। 2015 से पहले, इन प्रश्नों में "सभी या कुछ नहीं" (all-or-nothing) का नियम था, जहां एक भी सही विकल्प छूटने पर शून्य या नकारात्मक अंक मिलते थे । 2016 के बाद से, IITs ने उम्मीदवारों के आंशिक ज्ञान को पुरस्कृत करने के लिए एक परिष्कृत आंशिक अंकन प्रणाली शुरू की ।   

आधुनिक आंशिक अंकन का स्वरूप (जैसे +4/-2 योजना में):

+4 अंक (Full Marks): यदि सभी सही विकल्प चुने गए हैं और कोई गलत विकल्प नहीं चुना गया है।

+3 अंक (Partial Marks): यदि प्रश्न के 4 सही विकल्प हैं, लेकिन उम्मीदवार ने केवल 3 सही विकल्प चुने हैं।

+2 अंक (Partial Marks): यदि 3 या अधिक सही विकल्प हैं, लेकिन उम्मीदवार ने केवल 2 सही विकल्प चुने हैं।

+1 अंक (Partial Marks): यदि 2 या अधिक सही विकल्प हैं, लेकिन उम्मीदवार ने केवल 1 सही विकल्प चुना है।

-2 अंक (Negative Marks): यदि उम्मीदवार ने कोई भी एक गलत विकल्प चुन लिया, भले ही उसने अन्य सही विकल्प भी चुने हों ।   

यह -2 का भारी दंड उम्मीदवारों के मन में संज्ञानात्मक असंगति (cognitive dissonance) पैदा करता है, जिससे वे केवल उन्हीं विकल्पों का चयन करते हैं जिनके बारे में वे 100% आश्वस्त होते हैं ।   

मास्टर टेबल: JEE Advanced संपूर्ण अनुभाग-वार परीक्षा पैटर्न (2005–2026)

उपयोगकर्ता की विशिष्ट मांग के अनुसार, वर्ष 2005 से 2026 तक के पेपर 1 और पेपर 2 का संपूर्ण अनुभाग-वार डेटा (प्रत्येक विषय के लिए प्रश्नों की संख्या, अंक और अंकन योजना) नीचे एक ही विस्तृत तालिका (Master Table) में संकलित किया गया है।

(नोट: तालिका में दिया गया डेटा "प्रति विषय" (Per Subject) है। JEE Advanced में भौतिकी (Physics), रसायन विज्ञान (Chemistry) और गणित (Mathematics) तीन विषय होते हैं। इसलिए, पूरे पेपर के कुल प्रश्नों और अंकों को प्राप्त करने के लिए विषय के डेटा को 3 से गुणा किया जाना चाहिए।)

वर्ष (Year)	पेपर (Paper)	अनुभाग (Section)	प्रश्न का प्रकार (Question Type)	प्रश्न प्रति विषय (Qs per Subject)	अंकन योजना (Marking Scheme: Correct, Partial, Incorrect)	अधिकतम अंक प्रति विषय (Max Marks/Subject)
2005	Mains	Sec 1	Short Subjective	8	+2 (Subjective, No Negative)	16
(Subjective)		Sec 2	Medium Subjective	8	+4 (Subjective, No Negative)	32
		Sec 3	Long Subjective	2	+6 (Subjective, No Negative)	12
2006	Paper 1 & 2	Sec 1	Single Correct MCQ	12	+3, -1	36
(Objective)	(Combined)	Sec 2	Multiple Correct MCQ	8	+5, -1	40
		Sec 3	Comprehension	12	+5, -2	60
		Sec 4	Matrix Match	8	+6, 0	48
2007	Paper 1	Sec 1	Single Correct MCQ	9	+3, -1	27
		Sec 2	Assertion-Reason	4	+3, -1	12
		Sec 3	Paragraph/Comprehension	6	+4, -1	24
		Sec 4	Matrix Match	3	+6, 0 (Partial +1 per row)	18
	Paper 2	Sec 1	Single Correct MCQ	9	+3, -1	27
		Sec 2	Assertion-Reason	4	+3, -1	12
		Sec 3	Paragraph/Comprehension	6	+4, -1	24
		Sec 4	Matrix Match	3	+6, 0	18
2008	Paper 1	Sec 1	Single Correct MCQ	6	+3, -1	18
		Sec 2	Multiple Correct MCQ	4	+4, 0	16
		Sec 3	Reasoning Type	4	+3, -1	12
		Sec 4	Comprehension Sets	9	+4, -1	36
	Paper 2	Sec 1	Single Correct MCQ	9	+3, -1	27
		Sec 2	Reasoning Type	4	+3, -1	12
		Sec 3	Comprehension Sets	9	+4, -1	36
		Sec 4	Matrix Match	3	+6, 0	18
2009	Paper 1	Sec 1	Single Correct MCQ	8	+3, -1	24
		Sec 2	Multiple Correct MCQ	4	+4, -1	16
		Sec 3	Comprehension	6	+4, -1	24
		Sec 4	Matrix Match	2	+8, 0 (Partial +2 per row)	16
	Paper 2	Sec 1	Single Correct MCQ	4	+3, -1	12
		Sec 2	Multiple Correct MCQ	5	+4, -1	20
		Sec 3	Matrix Match	2	+8, 0 (Partial +2 per row)	16
		Sec 4	Single-Digit Integer (0-9)	8	+4, -1	32
2010	Paper 1	Sec 1	Single Correct MCQ	6	+3, -1	18
		Sec 2	Multiple Correct MCQ	6	+4, -2	24
		Sec 3	Single-Digit Integer	16	+3, -1	42
	Paper 2	Sec 1	Single Correct MCQ	6	+5, -2	30
		Sec 2	Multiple Correct MCQ	5	+3, -1	15
		Sec 3	Matrix / Comprehension	8	+4, 0	34
2011	Paper 1	Sec 1	Multiple Correct MCQ	7	+4, 0	28
		Sec 2	Paragraph Type	5	+3, -1	15
		Sec 3	Integer Type	7	+4, 0	28
	Paper 2	Sec 1	Single Correct MCQ	8	+3, -1	24
		Sec 2	Multiple Correct MCQ	4	+4, 0	16
		Sec 3	Integer Type	6	+4, 0	24
		Sec 4	Matrix Match	2	+8, 0	16
2012	Paper 1	Sec 1	Single Correct MCQ	10	+3, -1	30
		Sec 2	Multiple Correct MCQ	5	+4, 0	20
		Sec 3	Single Integer	5	+4, 0	20
	Paper 2	Sec 1	Single Correct MCQ	8	+3, -1	24
		Sec 2	Paragraph MCQ	6	+3, -1	18
		Sec 3	Multiple Correct MCQ	6	+4, 0	24
2013	Paper 1	Sec 1	Single Correct MCQ	10	+2, 0	20
		Sec 2	Multiple Correct MCQ	5	+4, -1	20
		Sec 3	Integer Type	5	+4, -1	20
	Paper 2	Sec 1	Multiple Correct MCQ	5	+4, -1	20
		Sec 2	Comprehension	8	+3, -1	24
		Sec 3	Matrix Match	5	+3, -1	15
2014	Paper 1	Sec 1	Multiple Correct MCQ	10	+3, 0	30
		Sec 2	Single Digit Integer	10	+3, 0	30
	Paper 2	Sec 1	Single Correct MCQ	10	+3, -1	30
		Sec 2	Comprehension MCQ	6	+3, -1	18
		Sec 3	Match the Column	4	+3, -1	12
2015	Paper 1	Sec 1	Single Digit Integer	8	+4, 0	32
		Sec 2	Multiple Correct MCQ	10	+4, -2 (No Partial)	40
		Sec 3	Matrix Match	2	+2, -1	4
	Paper 2	Sec 1	Single Digit Integer	8	+4, 0	32
		Sec 2	Multiple Correct MCQ	8	+4, -2 (No Partial)	32
		Sec 3	Paragraph Type	4	+4, -2	16
2016	Paper 1	Sec 1	Single Correct MCQ	5	+3, -1	15
		Sec 2	Multiple Correct MCQ	8	+4, Partial(+1), -2	32
		Sec 3	Numerical Type	5	+3, 0	15
	Paper 2	Sec 1	Single Correct MCQ	6	+3, -1	18
		Sec 2	Multiple Correct MCQ	8	+4, Partial(+1), -2	32
		Sec 3	Paragraph	4	+3, 0	12
2017	Paper 1	Sec 1	Multiple Correct MCQ	7	+4, Partial(+1), -2	28
		Sec 2	Numerical Answer	5	+3, 0	15
		Sec 3	Comprehension/Match	6	+3, -1	18
	Paper 2	Sec 1	Single Correct MCQ	7	+3, -1	21
		Sec 2	Multiple Correct MCQ	7	+4, Partial(+1), -2	28
		Sec 3	Comprehension	4	+3, -1	12
2018	Paper 1	Sec 1	Multiple Correct MCQ	6	+4, Partial(+1), -2	24
		Sec 2	Numerical (Decimal)	8	+3, 0	24
(CBT Begins)		Sec 3	Comprehension/Match	4	+3, -1	12
	Paper 2	Sec 1	Multiple Correct MCQ	6	+4, Partial(+1), -2	24
		Sec 2	Numerical (Decimal)	8	+3, 0	24
		Sec 3	Comprehension/Match	4	+3, -1	12
2019	Paper 1	Sec 1	Single Correct MCQ	4	+3, -1	12
		Sec 2	Multiple Correct MCQ	8	+4, Partial(+1,+2,+3), -1	32
		Sec 3	Numerical Value	6	+3, 0	18
	Paper 2	Sec 1	Multiple Correct MCQ	8	+4, Partial(+1,+2,+3), -1	32
		Sec 2	Numerical Value	6	+3, 0	18
		Sec 3	List Match Sets	4	+3, -1	12
2020	Paper 1	Sec 1	Single Correct MCQ	6	+3, -1	18
		Sec 2	Multiple Correct MCQ	6	+4, Partial(+1,+2,+3), -2	24
		Sec 3	Numerical Value Type	6	+4, 0	24
	Paper 2	Sec 1	Integer Value (0-9)	6	+3, -1	18
		Sec 2	Multiple Correct MCQ	6	+4, Partial(+1,+2,+3), -2	24
		Sec 3	Numerical Value Type	6	+4, 0	24
2021	Paper 1	Sec 1	Single Correct MCQ	4	+3, -1	12
		Sec 2	Numerical Stems (Decimal)	6	+2, 0	12
		Sec 3	Multiple Correct MCQ	6	+4, Partial(+1,+2,+3), -2	24
		Sec 4	Non-Negative Integer	3	+4, 0	12
	Paper 2	Sec 1	Multiple Correct MCQ	6	+4, Partial(+1,+2,+3), -2	24
		Sec 2	Numerical Stems (Decimal)	6	+2, 0	12
		Sec 3	Single Correct Paragraph	4	+3, -1	12
		Sec 4	Non-Negative Integer	3	+4, 0	12
2022	Paper 1	Sec 1	Numerical Answer	8	+3, 0	24
		Sec 2	Multiple Correct MCQ	6	+4, Partial(+1,+2,+3), -2	24
		Sec 3	Match List Sets	4	+3, -1	12
	Paper 2	Sec 1	Single Digit Integer	8	+3, -1	24
		Sec 2	Multiple Correct MCQ	6	+4, Partial(+1,+2,+3), -2	24
		Sec 3	Single Correct MCQ	4	+3, -1	12
2023	Paper 1	Sec 1	Multiple Correct MCQ	3	+4, Partial(+1,+2,+3), -2	12
		Sec 2	Numerical Value	4	+4, 0	16
(Total 54 Qs)		Sec 3	Match List Sets	4	+3, -1	12
	Paper 2	Sec 1	Multiple Correct MCQ	6	+4, Partial(+1,+2,+3), -2	24
		Sec 2	Numerical Value	6	+4, 0	24
		Sec 3	Single Digit Integer	6	+3, -1	18
2024	Paper 1	Sec 1	Single Correct MCQ	4	+3, -1	12
		Sec 2	Multiple Correct MCQ	3	+4, Partial(+1,+2,+3), -2	12
		Sec 3	Numerical Value	6	+4, 0	24
		Sec 4	Match List Sets	4	+3, -1	12
	Paper 2	Sec 1	Single Correct MCQ	4	+3, -1	12
		Sec 2	Multiple Correct MCQ	3	+4, Partial(+1,+2,+3), -2	12
		Sec 3	Numerical Value	6	+4, 0	24
		Sec 4	Match List Sets	4	+3, -1	12
2025	Paper 1	Sec 1	Single Correct MCQ	4	+3, -1	12
		Sec 2	Multiple Correct MCQ	3	+4, Partial(+1,+2,+3), -2	12
		Sec 3	Non-Negative Integer	6	+4, 0	24
		Sec 4	Match List Sets	4	+3, -1	12
	Paper 2	Sec 1	Single Correct MCQ	4	+3, -1	12
		Sec 2	Multiple Correct MCQ	3	+4, Partial(+1,+2,+3), -2	12
		Sec 3	Non-Negative Integer	6	+4, 0	24
		Sec 4	Paragraph / Match	4	+3, -1	12
2026	Paper 1	Sec 1	Single Correct MCQ	4	+3, -1	12
		Sec 2	Multiple Correct MCQ	3	+4, Partial(+1,+2,+3), -2	12
		Sec 3	Non-Negative Integer	6	+4, 0	24
		Sec 4	Match List Sets	4	+3, -1	12
	Paper 2	Sec 1	Single Correct MCQ	4	+3, -1	12
		Sec 2	Multiple Correct MCQ	3	+4, Partial(+1,+2,+3), -2	12
		Sec 3	Non-Negative Integer	6	+4, 0	24
		Sec 4	Paragraph/Stem NVT	4	+2, 0 (No Negative)	8
  
ऐतिहासिक विकासक्रम और साइकोमेट्रिक विश्लेषण (Psychometric Analysis)

उपरोक्त विशाल डेटा सेट का केवल अवलोकन करना पर्याप्त नहीं है; यह समझना आवश्यक है कि इन परिवर्तनों ने परीक्षा के संज्ञानात्मक भार (cognitive load) और छात्रों की रणनीतियों को कैसे प्रभावित किया।

चरण 1: व्यक्तिपरक (Subjective) से वस्तुनिष्ठ (Objective) की ओर संक्रमण (2005-2006)

वर्ष 2005 तक, IIT-JEE दो चरणों में आयोजित किया जाता था: स्क्रीनिंग (बहुविकल्पीय) और मुख्य परीक्षा (व्यक्तिपरक)। 2005 के मुख्य पेपर में भौतिकी, रसायन विज्ञान और गणित प्रत्येक में 18 व्यक्तिपरक प्रश्न थे, जो 60 अंकों के थे (कुल 180 अंक) । इन प्रश्नों के चरणबद्ध उत्तर (step-by-step solutions) लिखने होते थे।   

हालाँकि, व्यक्तिपरक कॉपियों की जाँच में मानवीय पूर्वाग्रह (human bias) को खत्म करने और कोचिंग उद्योग के बढ़ते प्रभाव को कम करने के लिए, 2006 में परीक्षा को पूरी तरह से एकल-चरण वस्तुनिष्ठ (Single-stage Objective) प्रारूप में बदल दिया गया । वस्तुनिष्ठ होने के बावजूद कठिनाई स्तर को बनाए रखने के लिए, परीक्षकों ने "एक या एक से अधिक सही विकल्प" (Multiple Correct) और "मैट्रिक्स मिलान" (Matrix Match) जैसे जटिल बहुविकल्पीय प्रारूपों का आविष्कार किया।   

चरण 2: अस्थिरता और प्रयोग का युग (2007-2012)

